GeneID,PC1,PC2,PC3,PC4,PC5,PC6,PC7
LSR,0.274820931,-0.089634961,0.197306188,-0.567552716,-2.168070284,0.15084234,-1.133660808
GRAMD1A,2.09129872,-0.697799675,1.68461401,-0.797519652,0.596486077,0.957450142,0.555880273
HPN,0.318660989,1.301263678,0.693094493,0.020468681,0.143204128,1.563284115,0.001155247
CKB,2.130037313,1.062449325,-1.685265448,1.175552606,0.80369026,-1.411198069,-0.644003645
SP1,-1.350814817,0.673483009,-0.226267934,0.650851842,-1.526890861,0.159695703,-0.631146084
ITGB7,0.327410729,0.134961783,-0.364669633,-1.363578809,-0.99538756,1.028362829,0.553376449
MYG1,-1.233270283,0.248339952,0.873586601,-0.131129849,-0.669995448,0.047004307,-0.328833394
RARG,0.056722694,0.192238787,-1.390209524,-1.593810972,-1.628799772,0.81544497,0.554983184
PFDN5,-2.001703012,1.215595509,-0.290656788,0.346817504,0.50332538,-0.038527415,-0.616270033
EFNB2,1.491769038,-0.891883816,-0.524524678,-1.894886271,-0.5016438,0.508554878,-1.0719486
RRP15,-1.371838504,-1.092355265,1.070190319,-0.145092829,0.786279732,-0.389501607,0.975120619
RND2,2.446394365,1.269687936,-0.44651939,-1.265413522,0.448328499,-1.295147157,1.361872662
SRR,1.316495002,0.038686287,-0.674562919,-0.435003631,-1.293442991,-0.616565292,1.787103713
SYNC,2.45731667,-2.749932738,-0.131882652,0.441936337,0.683477113,0.393986473,-0.077342697
FNDC5,3.53219486,1.200654427,0.577190957,-0.455115322,0.477496048,0.146049075,-0.227581193
ACP5,0.793867734,-1.007406146,0.744623944,1.646157405,-1.611499827,-1.32601611,-0.662359805
CNN1,2.890462673,-0.566462347,1.14862357,0.681818012,0.215611326,-1.164630502,-0.909995749
FBXO9,-0.330768188,1.138375995,-1.392214198,-1.523029678,1.28871133,-0.557799265,0.42314928
VPS50,-1.923406283,1.334751177,0.576749674,0.208323521,0.702604477,0.064319916,0.059281828
HARS1,-1.974165112,1.284881519,-0.288991814,-0.844503,0.141364268,-0.502891395,0.159787928
ZMAT2,-2.019023784,-0.135449231,0.145811065,1.112843274,0.473563239,-1.26135997,-0.241202192
UBE2C,-0.29008721,1.069294408,-1.787172595,-0.141919604,-0.189914665,-0.229957976,-1.107819121
SMG5,-0.401898795,-1.611733372,0.696953125,-0.73306901,-0.813908633,1.535806289,0.422569768
CCT3,-0.898825665,-1.224561577,1.938958926,-0.071269397,-0.613050202,-0.070639174,0.353524391
GLMP,-0.57123291,1.740921237,0.361908062,0.233863232,-0.984883567,-0.125312785,1.113900799
MEF2D,-1.994689495,0.309583862,-1.035883301,-0.879402454,-0.831684728,-0.106472242,0.008489855
TMEM79,1.154812193,-1.714217556,0.102669381,-0.004900649,-1.399802807,-1.985942887,-0.539770156
SND1,-2.006748176,0.849308729,-0.624366302,0.549920691,-0.122020323,-0.382180801,0.605698256
COL18A1,3.124129472,1.062305525,-0.908211241,0.823901439,-0.116833709,0.609672607,0.617731694
SLC19A1,-2.092890417,-0.189827246,-0.266011347,-0.524822142,-0.630910213,-0.972203515,0.468487851
KPNB1,-1.707046268,-1.198212198,0.299631192,-0.329323457,-0.624680945,1.113023291,0.309252358
NPEPPS,2.917996725,-0.582246315,1.578531629,0.108518178,0.400046761,0.892039063,-0.017952124
TBX21,0.058382304,-0.576339197,0.582673397,-1.914301482,0.047376346,-2.202354576,0.411905478
MRPL10,-1.055483126,0.596940136,1.976170737,0.797814067,0.523466344,0.070267496,-0.569640011
CYP51A1,1.644059213,-1.889722642,0.91653203,-0.576587166,-0.999858509,-0.977614151,-0.434628817
TCF25,-2.288898254,-0.279440094,-1.109475198,0.623563448,0.063917782,-0.108437991,-0.043186649
TUBB6,2.438273085,-1.133496202,0.699107142,1.006243416,-0.687576478,1.289506654,0.314173607
DEF8,-1.323600433,1.530704751,0.455335062,0.870748329,-0.520449897,-0.037511173,-0.20348009
MEOX1,1.449719504,1.586380793,-1.242592094,0.137051623,-1.456631665,-0.227122041,1.384824843
PAX9,2.391685541,1.533322207,-1.110327938,-0.980459202,-0.437728096,-1.169950855,0.616015274
COL1A1,3.625094446,0.010516731,-0.985698703,0.755877136,0.374644903,-0.207794517,0.752283168
ITGA3,0.218818607,-1.204429027,-1.197647841,0.22815089,1.105893945,2.057568465,-0.513580356
SGCA,-1.657628265,1.705702593,-0.321076686,-0.515580793,0.549839281,-0.882796426,0.98754528
FOXM1,2.570233581,0.037892291,0.162560322,0.095357638,-1.053509179,1.465618443,-0.379619304
ITFG2,-1.512179691,0.937150275,0.461981864,-0.372542129,0.209042157,-0.314845795,0.641599566
NRIP2,3.006601905,0.949528238,-0.209634548,-0.597228798,0.779815435,-0.729535462,-0.532892939
TULP3,-1.766293221,-0.26319203,-0.120841576,-1.127534068,-0.604498429,0.508003607,-1.281915197
GTF2H4,-1.582453425,-0.515049158,1.078991473,0.608989947,-0.493242346,-0.829918541,-0.419787075
TUBB,0.173009325,-0.506760781,0.416949818,0.484440722,-1.806519501,1.119746259,0.412220705
ELL2,1.59022724,-0.141816735,1.158424604,0.529341499,2.484617751,-0.546670403,0.868198027
JUP,1.188087905,1.378779478,-0.019216608,-1.279707753,-1.835322835,-0.319060401,0.643638933
FKBP10,2.253099696,1.684863451,-0.694980478,0.859180532,-0.276489707,0.928566442,-0.248236384
NOM1,-2.111807913,-0.234765747,0.784685534,0.708800185,-0.079762408,0.113037443,-0.0605402
ERGIC1,-1.037149865,-1.014543293,-1.442595016,0.97917931,-0.598295881,0.737122272,-0.00094895
ACAP1,0.965881322,-1.401471961,0.039466779,-0.681025653,-0.867292386,0.64656657,-0.698776697
TCEA3,-1.704017988,1.76849628,-0.715345708,-0.402672329,0.566150374,0.348564495,0.251840541
IFRD1,1.704752292,-1.29554484,1.832381572,-0.712169454,1.457172902,1.156898658,0.470842213
STK38L,-0.227176682,-2.039113073,0.118722519,-1.66990749,0.11754377,1.070171334,0.154319781
BRPF1,-2.18731935,-0.293794594,0.21623514,-1.335903475,0.205303632,-0.295808601,-0.364920427
AKR1B1,-2.300168796,-0.296695629,-0.439585386,-0.043268417,0.280392873,0.736450263,0.200340145
HOXC11,-1.514408391,-1.323634027,-1.160938741,-0.106601005,1.581012907,0.575327659,-0.275655686
HOXC8,0.795419868,-1.226212959,0.84794697,0.251834205,-1.529346214,-2.049988591,0.28058446
HOXC6,0.515180873,-1.26711351,1.973798714,-0.714549864,-0.840533863,-1.364006465,0.530523517
DDX18,-2.203381698,-0.134722732,0.823178053,-0.158961995,0.308939538,0.221002009,-0.653851909
UBL3,-2.124796332,-0.873075703,0.17662759,0.313035355,0.06009309,-0.703660113,0.971635128
GRAMD2B,0.407539488,-2.058846488,0.822894975,-0.815812356,-1.290970147,0.024670203,1.100560777
EEF1E1,-1.709269807,-1.08613591,-0.044798158,0.138755688,0.256720825,-0.181457514,-0.230271688
AKT1,-0.253463405,0.789204229,1.629914012,1.475540033,0.722881042,0.766463931,-0.302441718
CLDN15,1.276674254,2.276628938,0.601417054,0.140696919,-0.391440255,0.114659462,1.01757175
IL16,2.035135291,-0.370305905,-1.835755797,-1.382910091,-0.8219912,0.726679786,-0.141683669
TCIRG1,1.019689703,-1.403812455,-1.874468753,0.900823608,-1.138479103,-0.664128828,0.469170079
NAGLU,-0.935563819,0.791837363,-0.892002737,0.348567343,-1.2307063,0.490162174,-0.552952281
COASY,2.292348946,-0.598402292,1.133426475,-0.606578827,-1.832232448,-0.605739688,-0.554200424
SMO,1.327092434,1.594155815,-0.120897649,0.515533701,-1.993978433,-0.429523886,0.699902842
TSPAN33,1.222099962,1.920568109,1.611292594,0.335886671,1.163288113,-1.362607787,0.196058522
CRNKL1,-2.271195861,-0.189956958,0.235005536,-0.269865248,-0.283159236,-0.115555158,-0.171637924
RIN2,-0.004831298,-1.962288983,-0.665262252,-0.456877011,-2.007575076,-1.170989087,-0.130455006
FOLH1,0.742495208,-1.011736234,1.766391688,-0.203598765,-1.078880395,-1.495405978,1.099953594
CHORDC1,-1.235386796,-2.183431405,1.151201777,0.100436527,-0.08097188,-0.348861507,0.424006428
RTCB,-1.320933559,0.908480073,1.233783929,-0.071005652,-0.725318692,0.060053032,-0.150872338
PWP1,-2.018670756,1.083881313,-0.227041952,-0.237070773,-0.623272924,0.218078682,-0.036303782
FBXO7,-0.508648625,-1.162013515,2.019467108,-0.70465374,1.457170682,0.482813114,-0.113594354
CAPNS1,-1.647236041,1.254871001,-0.110470784,0.603061527,-0.230234328,0.305636784,-0.057029049
LRP3,-0.772588251,1.584758537,0.383886743,-0.05897218,-0.396134688,-0.083578074,-0.516124243
CLPB,1.099196403,1.594155991,1.233949632,0.33903575,1.048740061,1.528838307,-0.859608824
SEPTIN7,-0.558977054,-1.67296641,0.76507829,0.054469585,-0.926355021,1.515686673,0.045439603
ZDHHC4,-1.588730028,1.79068608,-0.256529675,-0.339705558,0.523329375,-1.044796161,0.743468071
